,name,price,origin,year,date,mileage,energy,gearbox,color,ratedHorsePower,powerDIN,consumption,brand,model
827,355,19320.0,0,2022.0,844,64835,3,0,102,6,116,4.6,30,259
828,219,28880.0,1,2020.0,918,94656,3,0,72,7,122,4.2,22,136
829,278,26150.0,1,2023.0,718,23028,3,1,102,5,75,4.0,28,8
830,275,15080.0,0,2020.0,821,97181,4,1,69,5,110,4.8,28,5
837,205,28900.0,0,2017.0,274,33939,4,1,72,9,160,6.6,21,274
839,5,33280.0,0,2022.0,724,9233,4,0,10,6,110,6.2,2,53
840,11,42510.0,0,2023.0,662,7911,3,0,86,8,150,4.6,2,60
841,290,13890.0,1,2018.0,486,145110,3,1,36,6,120,3.5,28,22
843,288,38690.0,0,2024.0,6,1,4,0,54,7,130,5.7,28,20
845,327,49010.0,0,2016.0,780,121610,4,0,65,31,420,7.8,29,119
846,51,54900.0,1,2017.0,959,79300,3,0,102,20,326,6.6,2,371
847,81,40680.0,0,2020.0,300,85386,3,0,3,11,190,5.5,4,415
849,363,22560.0,0,2019.0,174,82310,3,1,102,5,125,6.1,30,395
851,383,47020.0,1,2024.0,386,17,4,0,102,8,150,6.9,32,242
852,163,31950.0,0,2021.0,772,9838,3,1,65,8,150,4.9,12,244
853,205,26430.0,0,2017.0,874,47392,4,1,102,9,160,6.6,21,274
857,284,6790.0,0,2014.0,501,331595,3,1,102,5,116,3.3,28,16
859,174,43090.0,0,2020.0,527,72486,3,0,102,10,180,5.9,14,174
862,261,20500.0,0,2021.0,882,60494,3,1,65,5,102,4.8,27,154
863,29,47130.0,0,2023.0,904,26107,4,0,64,8,150,5.9,2,295
870,260,21090.0,0,2022.0,593,49049,4,0,28,5,101,5.4,27,150
872,282,39220.0,0,2023.0,915,11,3,0,93,7,130,5.1,28,14
873,331,86840.0,0,2020.0,237,42044,4,0,86,25,354,8.9,29,251
874,381,31680.0,0,2020.0,695,94147,3,0,102,10,190,6.7,32,240
877,261,20210.0,0,2018.0,719,71124,4,0,102,6,110,4.8,27,154
878,375,27580.0,0,2021.0,811,35498,4,1,54,8,150,5.8,31,247
879,431,48350.0,0,2020.0,743,82460,4,0,72,15,250,7.3,37,425
880,292,47200.0,0,2024.0,316,1220,4,0,102,7,96,6.0,28,24
883,333,95460.0,0,2018.0,828,94488,4,0,102,33,441,6.8,29,280
885,166,60480.0,1,2018.0,917,22990,4,1,51,33,421,13.5,12,270
886,57,33290.0,0,2020.0,76,59488,4,0,102,7,140,6.4,4,346
888,205,25500.0,0,2017.0,200,29946,4,1,72,9,160,6.6,21,274
889,288,33040.0,0,2024.0,691,1,4,0,54,7,131,5.7,28,20
890,407,25280.0,0,2022.0,68,52003,4,1,102,6,110,5.4,36,209
892,234,72430.0,0,2022.0,353,17663,3,0,102,10,140,7.2,22,409
894,6,34500.0,0,2023.0,951,10429,4,0,102,6,110,5.8,2,54
895,338,16780.0,0,2020.0,104,91896,4,0,49,8,150,5.5,30,117
896,55,65380.0,0,2012.0,775,57007,4,1,102,24,340,7.3,4,344
898,414,29590.0,1,2022.0,230,60427,4,0,50,8,150,6.5,36,378
899,311,169490.0,1,2018.0,940,30210,4,0,102,34,450,7.3,29,40
901,296,32490.0,0,2020.0,651,46484,3,0,102,8,163,4.5,28,32
904,281,22570.0,0,2019.0,893,109696,4,0,86,9,165,4.8,28,13
909,194,118690.0,0,2021.0,902,32780,4,0,86,47,550,12.3,17,322
910,57,48380.0,0,2023.0,61,9995,3,0,86,10,190,4.9,4,346
911,133,41000.0,0,2020.0,616,25283,4,0,102,10,181,5.9,9,35
913,281,29460.0,0,2021.0,793,69484,3,0,94,6,131,5.2,28,13
916,277,29970.0,0,2017.0,511,52832,4,1,102,11,208,4.6,28,7
917,412,36580.0,0,2018.0,211,89328,4,0,69,9,150,5.9,36,366
918,57,28570.0,0,2021.0,260,63140,4,0,102,7,140,6.2,4,346
919,405,44680.0,0,2020.0,371,36400,4,0,102,19,301,8.6,36,207
920,0,10970.0,0,2009.0,677,139080,4,1,88,12,185,9.4,0,313
925,184,8000.0,0,2013.0,762,165390,4,1,102,5,86,4.3,16,311
929,414,36360.0,0,2022.0,851,34200,4,0,102,8,150,6.8,36,378
932,226,43540.0,0,2017.0,63,98417,4,0,72,26,381,7.4,22,193
933,99,25780.0,0,2022.0,938,51072,3,0,102,6,120,5.0,6,95
935,293,24250.0,1,2019.0,201,146164,3,1,102,6,120,4.2,28,29
936,44,146350.0,0,2021.0,557,85474,4,0,29,53,600,12.5,2,330
937,274,31030.0,0,2022.0,544,29859,4,0,64,7,130,6.0,28,4
939,119,10050.0,0,2016.0,91,131440,3,1,49,5,75,3.9,6,275
940,428,24130.0,1,2019.0,519,95450,3,0,65,8,150,4.2,37,406
941,417,27030.0,0,2023.0,32,12608,4,1,102,6,110,5.4,36,381
946,365,40170.0,0,2024.0,827,1,3,1,64,7,131,6.7,30,397
948,6,37100.0,0,2023.0,318,26149,4,0,54,8,150,6.1,2,54
949,402,13140.0,0,2015.0,337,168911,4,1,94,5,105,4.3,36,204
950,278,26220.0,0,2023.0,128,5,4,0,102,7,130,5.3,28,8
952,76,75460.0,0,2020.0,23,92986,3,0,102,20,320,6.1,4,365
954,123,19700.0,0,2021.0,766,23015,4,1,53,5,101,6.2,8,166
956,282,39110.0,0,2022.0,432,20661,4,0,102,7,131,6.5,28,14
960,196,30470.0,0,2021.0,919,59212,5,0,88,7,152,4.1,18,403
961,78,27860.0,0,2021.0,620,72038,3,0,102,6,116,5.1,4,412
963,6,26650.0,0,2020.0,817,43920,4,1,13,5,95,4.6,2,54
965,133,44780.0,0,2020.0,436,74016,4,0,49,13,224,5.6,9,35
968,159,17580.0,0,2021.0,439,59168,4,1,102,5,101,4.3,12,188
970,347,18880.0,0,2018.0,870,70847,3,1,102,5,90,4.2,30,239
972,29,39180.0,0,2021.0,738,23958,4,1,36,8,150,6.6,2,295
973,410,17530.0,0,2019.0,320,79038,4,1,102,5,95,4.6,36,288
974,407,25510.0,0,2021.0,966,37257,4,1,102,7,131,5.4,36,209
975,120,30450.0,0,2018.0,768,120780,3,1,19,6,116,5.2,6,368
976,34,53480.0,0,2022.0,648,53489,3,0,86,11,204,6.6,2,300
977,426,18470.0,0,2016.0,451,154382,3,0,102,7,136,4.3,37,404
978,282,47560.0,0,2023.0,542,12,4,0,93,7,130,6.4,28,14
980,176,79440.0,0,2019.0,783,15210,4,0,102,19,301,7.9,14,176
983,274,29130.0,0,2023.0,340,21010,3,0,102,7,131,4.8,28,4
985,274,27700.0,0,2022.0,530,32289,4,0,49,7,130,6.0,28,4
987,158,17080.0,0,2019.0,177,96398,3,0,102,6,120,3.6,12,187
988,128,14490.0,0,2019.0,552,55483,3,1,102,4,90,3.8,8,336
989,287,21940.0,0,2021.0,489,102151,4,1,49,7,131,5.8,28,19
990,274,28860.0,0,2023.0,514,15048,3,1,23,6,110,4.4,28,4
991,330,50490.0,0,2016.0,124,76780,4,0,102,23,340,8.7,29,250
994,345,19470.0,0,2019.0,11,103185,3,1,102,5,110,3.8,30,215
995,406,21230.0,0,2020.0,212,112163,3,1,102,6,116,4.1,36,208
996,159,22750.0,0,2020.0,561,21113,3,0,102,6,120,4.4,12,188
997,56,34860.0,0,2019.0,409,55916,3,0,86,10,190,4.7,4,345
